,title,year,genre,runtime,mpa_rating,imdb_rating,imdb_gross,director,stars,tomato_meter,tom_aud_score,entity,id
55,X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113,PG-13,5.7,65850000,Simon Kinberg,"Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult",22,64,MARVEL,55
56,Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129,PG-13,7.5,390530000,Jon Watts,"Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei",90,95,MARVEL,56
57,The New Mutants,2020,"Action, Horror, Mystery",94,PG-13,5.3,0,Josh Boone,"Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Alice Braga",35,56,MARVEL,57
58,Superman and the Mole-Men,1951,"Action, Adventure, Drama",58,Passed,5.7,0,Lee Sholem,"George Reeves,Phyllis Coates,Jeff Corey,Walter Reed",0,83,DC,58
59,Batman: The Movie,1966,"Adventure, Comedy, Crime",105,PG,6.5,0,Leslie H. Martinson,"Adam West,Burt Ward,Lee Meriwether,Cesar Romero",79,62,DC,59
60,Superman,1978,"Action, Adventure, Drama",143,PG,7.3,134220000,Richard Donner,"Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando",94,86,DC,60
61,Superman II,1980,"Action, Adventure, Sci-Fi",127,PG,6.8,108190000,Richard Lester,"Gene Hackman,Christopher Reeve,Margot Kidder,Ned Beatty",86,76,DC,61
62,Swamp Thing,1982,"Horror, Sci-Fi",91,PG,5.4,0,Wes Craven,"Louis Jourdan,Adrienne Barbeau,Ray Wise,David Hess",63,40,DC,62
63,Superman III,1983,"Action, Adventure, Comedy",125,PG,5,59950000,Richard Lester,"Christopher Reeve,Richard Pryor,Margot Kidder,Jackie Cooper",30,23,DC,63
64,Supergirl,1984,"Action, Adventure, Fantasy",124,PG,4.4,13600000,Jeannot Szwarc,"Helen Slater,Faye Dunaway,Peter O'Toole,Mia Farrow",9,26,DC,64
65,Superman IV: The Quest for Peace,1987,"Action, Adventure, Sci-Fi",90,PG,3.7,15680000,Sidney J. Furie,"Christopher Reeve,Gene Hackman,Margot Kidder,Jackie Cooper",11,16,DC,65
